A,72000.58,71999.08,71999.67,71996.25,72000.33,72001.08,71999.50,71999.58,72000.08,73088.08,71998.92
B,96001.00,96000.67,95999.25,96000.17,96000.33,96000.92,96000.92,96001.00,95999.92,102087.58,96009.75
C,575998.50,576000.83,576001.25,576002.58,575999.83,575998.92,575993.42,575999.00,576000.00,589550.25,576079.00
D,24000.17,24000.08,23999.92,23999.83,24000.17,24000.17,23999.92,24000.00,24000.25,24287.17,23999.58
E,96001.00,95999.50,96001.50,96001.67,95999.00,96000.58,96000.75,96001.25,96001.50,97094.33,96002.75
F,48000.25,48000.33,47999.42,47999.17,47999.75,47999.25,47999.58,48000.17,48000.33,49584.25,48001.58
G,72000.17,71999.83,71999.58,72000.50,72000.17,71998.58,71999.58,71999.83,72000.75,78065.83,72005.42
H,96001.17,95998.92,96001.67,95999.67,96000.08,96000.25,95999.75,95999.25,96000.25,101407.42,96005.58
I,47999.67,47999.42,47999.50,48000.08,47999.00,48000.08,48000.75,47999.75,48007.83,50141.00,47996.08
J,143998.92,143998.83,143999.17,143999.42,143998.67,143999.25,144000.25,144000.33,144000.67,147157.75,143999.33
K,72000.83,72000.67,72000.50,72000.25,71999.25,72000.33,72000.83,71999.17,71999.92,76191.17,72003.08
L,24001.00,24000.25,24000.17,23999.67,24000.67,23999.67,23999.50,23999.17,24005.58,25654.17,24000.25
N,24000.75,24000.75,23999.42,24000.33,23999.25,23999.67,24000.42,24000.83,24000.17,26806.50,23995.42
